SKUCode,Machines
1325217514082TUTR0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325216614081STMX0,"[24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 54801, 54802, 54803, 54804, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325218514086HURL0,"[24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325216614081SUTR0,"[24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 54801, 54802, 54803, 54804, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325218614088TVECE,"[24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325216814085TURS0,"[24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325217514082HURL2,"[24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325217415081HUTR0,"[24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325213615099MSXT0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 4913, 4914, 4915, 4920, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1325218515088HURL0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325218515088SURL0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325217515084HURL0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 54801, 54802, 54803, 54804, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325217515084HURL1,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 54801, 54802, 54803, 54804, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325218515088HURL1,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 54801, 54802, 54803, 54804, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325219515091VURL1,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 54801, 54802, 54803, 54804, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325219515091VURL0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 54801, 54802, 54803, 54804, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325220515094VURL1,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325219515091VZEP0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9502, 9503, 9504, 9505, 9506, 9507]"
1325219515091VVEC0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9502, 9503, 9504, 9505, 9506, 9507]"
1325219515091HVEC0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9502, 9503, 9504, 9505, 9506, 9507]"
1325119615092STOR0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1325119815106QBRQ0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1325121715100SBRT0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1325121715115SLTB0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1225221615008QXC10,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1225222615008RXC10,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325220515094VURL0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 54801, 54802, 54803, 54804, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325220515094VZEP0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9502, 9503, 9504, 9505, 9506, 9507]"
1325123715105SBRT0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1325223715105SBRT0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1225170015010LSTL0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1225170015012LSTL0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1325220415091VZEP0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 9502, 9503, 9504, 9505, 9506, 9507]"
1325119015008SRBT0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1225121715115SSTL0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1225221715115SSTL0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1325218515088TURL0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1325218415008QULX0,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1325219415088SXRG1,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1325219415088SXRG2,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1325121715100SRBT0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
1325218515088TURLS,"[4413, 4414, 4415, 4416, 4417, 4801, 4802, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414, 24801, 24802, 24803, 24804, 24805, 24806, 24807, 24808, 24809, 24810, 24811, 24812, 24813, 24814, 24815, 24816, 24817, 24818, 24819, 24820, 24821, 24822, 24823, 24824, 24825, 14801, 14802, 14803, 14804, 14805, 14806, 14807, 14808, 14809, 14810, 14811, 14812, 14813, 15201, 15202, 15203, 15204, 15205, 15206, 15207, 15208, 15209, 15210, 15211, 15212, 15213, 75204, 24826, 75222, 75205, 75211, 75209, 75202, 75228, 75208, 75215, 75229, 75223, 75203, 75230, 75206, 75213, 75201, 75224, 75214, 75225, 75212, 75207, 75226, 75210, 75227, 75221, 75216, 75218, 75220, 75217, 75219]"
1225119015107SLTB0,"[4401, 4402, 4403, 4404, 4405, 4406, 4407, 4408, 4409, 4411, 4412, 4413, 4414, 4415, 4416, 4417, 4801, 4802, 4410, 4901, 4902, 4903, 4904, 4905, 4906, 4907, 4908, 4909, 4910, 4911, 4912, 4916, 4917, 4918, 4919, 4921, 4922, 4923, 4924, 4925, 8601, 8602, 8603, 8604, 8605, 8606, 8701, 8702, 9701, 9702, 9703, 9704, 9001, 9002, 9201, 9202, 9203, 9401, 9402, 9403, 9404, 9405, 9406, 9407, 9408, 9409, 9410, 9411, 9412, 9413, 9414]"
